x xuv xdv xubar xdbar xgl
0.001 1.57483 1.54231 1.49989 1.52105 26.9664
0.00103532 1.55887 1.52611 1.48287 1.50429 26.5047
0.00107189 1.54308 1.51007 1.46601 1.48768 26.049
0.00110975 1.52745 1.4942 1.4493 1.47121 25.5991
0.00114895 1.51199 1.47849 1.43274 1.4549 25.1551
0.00118953 1.4967 1.46294 1.41633 1.43874 24.7169
0.00123155 1.48157 1.44756 1.40007 1.42273 24.2844
0.00127505 1.46661 1.43235 1.38396 1.40686 23.8576
0.00132009 1.45181 1.4173 1.368 1.39115 23.4365
0.00136672 1.43719 1.40241 1.35219 1.37557 23.021
0.00141499 1.42272 1.38768 1.33653 1.36015 22.611
0.00146497 1.40843 1.37312 1.32101 1.34487 22.2065
0.00151672 1.3943 1.35872 1.30565 1.32973 21.8075
0.00157029 1.38033 1.34449 1.29043 1.31474 21.4138
0.00162576 1.36653 1.33041 1.27536 1.29989 21.0255
0.00168318 1.3529 1.31649 1.26044 1.28518 20.6425
0.00174263 1.33943 1.30274 1.24566 1.27062 20.2648
0.00180419 1.32613 1.28914 1.23102 1.25619 19.8922
0.00186791 1.31299 1.27571 1.21653 1.2419 19.5248
0.00193389 1.30001 1.26243 1.20219 1.22775 19.1625
0.0020022 1.2872 1.24931 1.18799 1.21373 18.8053
0.00207292 1.27456 1.23635 1.17393 1.19986 18.453
0.00214614 1.26208 1.22355 1.16001 1.18611 18.1057
0.00222195 1.24976 1.2109 1.14624 1.1725 17.7634
0.00230043 1.23761 1.19841 1.1326 1.15902 17.4259
0.00238169 1.22562 1.18607 1.11911 1.14567 17.0932
0.00246581 1.21379 1.17388 1.10575 1.13244 16.7652
0.00255291 1.20213 1.16185 1.09253 1.11935 16.442
0.00264308 1.19062 1.14997 1.07945 1.10638 16.1235
0.00273644 1.17929 1.13824 1.0665 1.09354 15.8095
0.0028331 1.16811 1.12666 1.0537 1.08082 15.5002
0.00293317 1.15709 1.11523 1.04102 1.06822 15.1954
0.00303677 1.14624 1.10394 1.02848 1.05574 14.8951
0.00314404 1.13555 1.09281 1.01607 1.04337 14.5992
0.00325509 1.12502 1.08181 1.0038 1.03113 14.3077
0.00337006 1.11465 1.07096 0.991652 1.019 14.0205
0.0034891 1.10444 1.06026 0.979637 1.00698 13.7377
0.00361234 1.09439 1.0497 0.967751 0.995069 13.4591
0.00373994 1.0845 1.03927 0.955993 0.983269 13.1847
0.00387204 1.07477 1.02899 0.944361 0.971576 12.9145
0.00400881 1.0652 1.01884 0.932855 0.959988 12.6484
0.0041504 1.05579 1.00883 0.921473 0.948502 12.3864
0.004297 1.04653 0.998949 0.910215 0.937116 12.1285
0.00444878 1.03744 0.989204 0.899078 0.925828 11.8745
0.00460592 1.0285 0.97959 0.888063 0.914636 11.6244
0.00476861 1.01972 0.970105 0.877166 0.903538 11.3783
0.00493705 1.0111 0.960748 0.866388 0.89253 11.1361
0.00511143 1.00263 0.951516 0.855727 0.881611 10.8976
0.00529198 0.994318 0.942408 0.845182 0.870778 10.6629
0.0054789 0.986163 0.933422 0.83475 0.860029 10.432
0.00567243 0.978163 0.924555 0.824432 0.84936 10.2048
0.00587279 0.970318 0.915806 0.814224 0.83877 9.9812
0.00608022 0.962627 0.907173 0.804127 0.828255 9.76123
0.00629499 0.955091 0.898653 0.794137 0.817813 9.54483
0.00651734 0.947707 0.890245 0.784255 0.807441 9.33196
0.00674754 0.940477 0.881945 0.774477 0.797135 9.12257
0.00698588 0.933399 0.873752 0.764803 0.786894 8.91664
0.00723263 0.926473 0.865663 0.755231 0.776713 8.71412
0.0074881 0.919697 0.857675 0.745758 0.766591 8.51497
0.0077526 0.913073 0.849787 0.736385 0.756524 8.31915
0.00802643 0.906598 0.841995 0.727107 0.746508 8.12663
0.00830994 0.900273 0.834297 0.717925 0.736542 7.93736
0.00860346 0.894096 0.826691 0.708835 0.72662 7.75131
0.00890735 0.888068 0.819172 0.699836 0.716742 7.56843
0.00922198 0.882186 0.811739 0.690926 0.706902 7.3887
0.00954772 0.876451 0.80439 0.682103 0.697098 7.21207
0.00988496 0.870861 0.797119 0.673366 0.687327 7.03851
0.0102341 0.865416 0.789926 0.664711 0.677585 6.86798
0.0105956 0.860114 0.782807 0.656137 0.667869 6.70044
0.0109699 0.854955 0.775759 0.647641 0.658176 6.53587
0.0113573 0.849938 0.768779 0.639222 0.648502 6.37421
0.0117585 0.845062 0.761864 0.630877 0.638845 6.21545
0.0121738 0.840325 0.75501 0.622604 0.629201 6.05954
0.0126038 0.835727 0.748215 0.6144 0.619567 5.90644
0.013049 0.831266 0.741476 0.606264 0.60994 5.75613
0.0135099 0.826941 0.73479 0.598193 0.600317 5.60857
0.0139871 0.82275 0.728152 0.590183 0.590695 5.46372
0.0144812 0.818692 0.721561 0.582234 0.58107 5.32156
0.0149927 0.814766 0.715014 0.574342 0.571441 5.18205
0.0155223 0.81097 0.708506 0.566504 0.561804 5.04515
0.0160705 0.807302 0.702036 0.558719 0.552158 4.91084
0.0166382 0.80376 0.6956 0.550983 0.542498 4.77908
0.0172259 0.800343 0.689196 0.543294 0.532824 4.64984
0.0178343 0.797049 0.68282 0.535649 0.523133 4.52308
0.0184642 0.793876 0.67647 0.528046 0.513424 4.39879
0.0191164 0.790821 0.670143 0.520481 0.503694 4.27692
0.0197917 0.787882 0.663837 0.512952 0.493942 4.15744
0.0204907 0.785057 0.657549 0.505456 0.484166 4.04033
0.0212145 0.782343 0.651277 0.49799 0.474367 3.92556
0.0219639 0.779738 0.645019 0.490553 0.464542 3.81309
0.0227397 0.777239 0.638773 0.483139 0.454693 3.70289
0.0235429 0.774843 0.632536 0.475748 0.444818 3.59494
0.0243744 0.772546 0.626308 0.468376 0.434918 3.48921
0.0252354 0.770347 0.620086 0.46102 0.424993 3.38566
0.0261268 0.768241 0.61387 0.453678 0.415045 3.28427
0.0270496 0.766225 0.607658 0.446347 0.405075 3.18502
0.028005 0.764295 0.60145 0.439025 0.395085 3.08786
0.0289942 0.762448 0.595244 0.431707 0.385077 2.99278
0.0300184 0.760679 0.589041 0.424394 0.375053 2.89975
0.0310787 0.758985 0.582841 0.41708 0.365017 2.80874
0.0321764 0.75736 0.576643 0.409765 0.354973 2.71972
0.0333129 0.755801 0.570447 0.402446 0.344925 2.63266
0.0344896 0.754302 0.564256 0.395121 0.334876 2.54754
0.0357079 0.752859 0.558068 0.387787 0.324834 2.46434
0.0369691 0.751467 0.551886 0.380443 0.314802 2.38302
0.0382749 0.75012 0.54571 0.373086 0.304788 2.30356
0.0396269 0.748812 0.539543 0.365716 0.294797 2.22594
0.0410266 0.747538 0.533386 0.35833 0.284838 2.15012
