x xuv xdv xubar xdbar xgl
0.001 1.54988 1.51754 1.47551 1.49665 26.4267
0.00103532 1.53443 1.50186 1.45902 1.48041 25.9795
0.00107189 1.51914 1.48633 1.44267 1.46431 25.538
0.00110975 1.50401 1.47095 1.42646 1.44836 25.102
0.00114895 1.48904 1.45574 1.4104 1.43255 24.6717
0.00118953 1.47423 1.44068 1.39448 1.41688 24.2468
0.00123155 1.45957 1.42578 1.3787 1.40135 23.8274
0.00127505 1.44508 1.41103 1.36306 1.38597 23.4134
0.00132009 1.43074 1.39644 1.34757 1.37072 23.0048
0.00136672 1.41656 1.38201 1.33222 1.35561 22.6015
0.00141499 1.40254 1.36773 1.31701 1.34064 22.2036
0.00146497 1.38868 1.3536 1.30194 1.32581 21.8108
0.00151672 1.37497 1.33964 1.28701 1.31111 21.4233
0.00157029 1.36143 1.32582 1.27222 1.29656 21.0408
0.00162576 1.34804 1.31217 1.25757 1.28213 20.6635
0.00168318 1.33481 1.29866 1.24306 1.26785 20.2913
0.00174263 1.32174 1.28531 1.22869 1.25369 19.924
0.00180419 1.30883 1.27212 1.21446 1.23967 19.5618
0.00186791 1.29608 1.25907 1.20037 1.22578 19.2044
0.00193389 1.28348 1.24618 1.18641 1.21203 18.8519
0.0020022 1.27104 1.23344 1.17259 1.1984 18.5043
0.00207292 1.25876 1.22085 1.15891 1.1849 18.1614
0.00214614 1.24664 1.20841 1.14536 1.17153 17.8233
0.00222195 1.23467 1.19612 1.13195 1.15829 17.4899
0.00230043 1.22286 1.18398 1.11867 1.14517 17.1611
0.00238169 1.21121 1.17199 1.10552 1.13218 16.837
0.00246581 1.19972 1.16015 1.09251 1.11931 16.5174
0.00255291 1.18838 1.14845 1.07963 1.10656 16.2023
0.00264308 1.1772 1.1369 1.06688 1.09393 15.8917
0.00273644 1.16617 1.12549 1.05426 1.08142 15.5855
0.0028331 1.1553 1.11423 1.04178 1.06903 15.2838
0.00293317 1.14459 1.10311 1.02942 1.05675 14.9863
0.00303677 1.13404 1.09213 1.01719 1.04459 14.6932
0.00314404 1.12364 1.0813 1.00508 1.03254 14.4043
0.00325509 1.11339 1.0706 0.993105 1.02061 14.1197
0.00337006 1.1033 1.06005 0.981254 1.00878 13.8392
0.0034891 1.09337 1.04963 0.969527 0.997056 13.5629
0.00361234 1.08359 1.03935 0.957924 0.985441 13.2907
0.00373994 1.07396 1.0292 0.946444 0.973929 13.0225
0.00387204 1.06449 1.01919 0.935086 0.96252 12.7583
0.00400881 1.05517 1.00931 0.923848 0.95121 12.4981
0.0041504 1.04601 0.999557 0.91273 0.939999 12.2418
0.004297 1.037 0.989937 0.90173 0.928883 11.9894
0.00444878 1.02814 0.980446 0.890847 0.91786 11.7408
0.00460592 1.01944 0.971081 0.880081 0.906929 11.4961
0.00476861 1.01089 0.961842 0.86943 0.896087 11.2551
0.00493705 1.00249 0.952725 0.858892 0.885332 11.0178
0.00511143 0.994245 0.94373 0.848467 0.874661 10.7842
0.00529198 0.98615 0.934854 0.838153 0.864073 10.5543
0.0054789 0.978207 0.926097 0.827949 0.853563 10.3279
0.00567243 0.970415 0.917455 0.817854 0.84313 10.1052
0.00587279 0.962773 0.908927 0.807865 0.832772 9.88592
0.00608022 0.955282 0.90051 0.797983 0.822485 9.67016
0.00629499 0.94794 0.892204 0.788205 0.812267 9.45785
0.00651734 0.940748 0.884004 0.778529 0.802115 9.24895
0.00674754 0.933705 0.875911 0.768955 0.792026 9.04342
0.00698588 0.92681 0.86792 0.75948 0.781998 8.84122
0.00723263 0.920064 0.860029 0.750104 0.772026 8.64233
0.0074881 0.913465 0.852237 0.740824 0.76211 8.44669
0.0077526 0.907012 0.844541 0.731638 0.752244 8.25428
0.00802643 0.900707 0.836938 0.722546 0.742427 8.06506
0.00830994 0.894547 0.829425 0.713545 0.732655 7.87899
0.00860346 0.888532 0.822001 0.704633 0.722926 7.69604
0.00890735 0.882663 0.814662 0.695809 0.713235 7.51616
0.00922198 0.876937 0.807405 0.687071 0.703579 7.33933
0.00954772 0.871354 0.800228 0.678416 0.693957 7.16551
0.00988496 0.865913 0.793128 0.669844 0.684363 6.99466
0.0102341 0.860615 0.786102 0.661351 0.674796 6.82675
0.0105956 0.855457 0.779146 0.652935 0.665251 6.66175
0.0109699 0.850439 0.77226 0.644596 0.655726 6.49962
0.0113573 0.84556 0.765438 0.636329 0.646216 6.34032
0.0117585 0.84082 0.758678 0.628134 0.63672 6.18384
0.0121738 0.836216 0.751977 0.620008 0.627234 6.03012
0.0126038 0.831748 0.745332 0.611949 0.617755 5.87914
0.013049 0.827415 0.738741 0.603954 0.608279 5.73087
0.0135099 0.823216 0.732199 0.596021 0.598803 5.58527
0.0139871 0.819148 0.725703 0.588148 0.589325 5.44231
0.0144812 0.815212 0.719252 0.580332 0.579842 5.30196
0.0149927 0.811405 0.712841 0.57257 0.570351 5.16419
0.0155223 0.807727 0.706468 0.564861 0.560848 5.02897
0.0160705 0.804174 0.700129 0.557201 0.551332 4.89627
0.0166382 0.800746 0.693822 0.549588 0.5418 4.76605
0.0172259 0.797442 0.687544 0.54202 0.53225 4.63828
0.0178343 0.794258 0.681292 0.534493 0.52268 4.51294
0.0184642 0.791193 0.675063 0.527005 0.513087 4.39
0.0191164 0.788246 0.668855 0.519553 0.50347 4.26942
0.0197917 0.785413 0.662665 0.512135 0.493827 4.15118
0.0204907 0.782693 0.656491 0.504748 0.484158 4.03525
0.0212145 0.780083 0.65033 0.497388 0.47446 3.92159
0.0219639 0.77758 0.64418 0.490054 0.464734 3.81019
0.0227397 0.775182 0.63804 0.482742 0.454979 3.70101
0.0235429 0.772887 0.631907 0.47545 0.445195 3.59402
0.0243744 0.77069 0.625779 0.468175 0.435381 3.4892
0.0252354 0.76859 0.619656 0.460913 0.425539 3.38652
0.0261268 0.766582 0.613536 0.453663 0.41567 3.28595
0.0270496 0.764664 0.607417 0.446422 0.405774 3.18746
0.028005 0.762831 0.601299 0.439187 0.395854 3.09104
0.0289942 0.761081 0.595182 0.431955 0.385912 2.99664
0.0300184 0.759408 0.589065 0.424723 0.375951 2.90425
0.0310787 0.75781 0.582947 0.41749 0.365973 2.81384
0.0321764 0.756281 0.57683 0.410253 0.355982 2.72538
0.0333129 0.754818 0.570713 0.40301 0.345982 2.63884
0.0344896 0.753415 0.564596 0.395757 0.335978 2.55421
0.0357079 0.752068 0.558482 0.388494 0.325976 2.47145
0.0369691 0.750772 0.55237 0.381218 0.31598 2.39055
0.0382749 0.749521 0.546263 0.373927 0.305997 2.31147
0.0396269 0.74831 0.540162 0.36662 0.296033 2.23419
0.0410266 0.747133 0.534069 0.359295 0.286097 2.15869
0.0424757 0.745984 0.527985 0.351951 0.276195 2.08493
0.043976 0.744857 0.521914 0.344586 0.266336 2.01291
0.0455294 0.743746 0.515857 0.3372 0.256528 1.94259
0.0471375 0.742643 0.509818 0.329791 0.246781 1.87394
0.0488025 0.741542 0.503799 0.322361 0.237105 1.80696
0.0505263 0.740436 0.497802 0.314907 0.227509 1.7416
0.052311 0.739317 0.491831 0.307431 0.218004 1.67785
0.0541587 0.738178 0.485889 0.299933 0.208601 1.61569
0.0560717 0.73701 0.479977 0.292414 0.19931 1.55508
0.0580523 0.735805 0.4741 0.284874 0.190144 1.49602
0.0601028 0.734554 0.468259 0.277316 0.181113 1.43847
0.0622257 0.73325 0.462457 0.26974 0.172229 1.38241
0.0644236 0.731881 0.456695 0.26215 0.163503 1.32782
0.0666992 0.73044 0.450976 0.254548 0.154948 1.27468
0.0690551 0.728916 0.4453 0.246938 0.146574 1.22297
0.0714943 0.7273 0.439668 0.239321 0.138393 1.17265
0.0740196 0.72558 0.434081 0.231704 0.130415 1.12372
0.0766341 0.723746 0.428538 0.224089 0.122652 1.07615
0.079341 0.721786 0.423037 0.216482 0.115113 1.02992
0.0821434 0.719691 0.417577 0.208888 0.107808 0.984997
0.0850449 0.717446 0.412155 0.201314 0.100745 0.941374
0.0880488 0.715042 0.406766 0.193764 0.0939333 0.899026
0.0911589 0.712464 0.401407 0.186247 0.0873794 0.857933
0.0943788 0.7097 0.396072 0.17877 0.0810898 0.818073
0.0977124 0.706737 0.390754 0.171339 0.0750698 0.779426
0.101164 0.70356 0.385445 0.163964 0.0693237 0.741974
0.104737 0.700157 0.380136 0.156652 0.0638546 0.705696
0.108437 0.696512 0.374818 0.149412 0.0586645 0.670574
0.112267 0.69261 0.369479 0.142254 0.053754 0.636588
0.116232 0.688436 0.364109 0.135188 0.0491227 0.603719
0.120338 0.683975 0.358694 0.128222 0.0447688 0.57195
0.124588 0.67921 0.35322 0.121367 0.0406892 0.541262
0.128989 0.674124 0.347674 0.114633 0.0368797 0.511638
0.133545 0.668701 0.342041 0.108031 0.0333347 0.48306
0.138262 0.662924 0.336306 0.101569 0.0300477 0.455511
0.143146 0.656774 0.330453 0.0952592 0.0270108 0.428974
0.148202 0.650235 0.324467 0.0891108 0.0242155 0.403432
0.153437 0.643287 0.318332 0.0831337 0.021652 0.378869
0.158857 0.635914 0.312034 0.0773374 0.0193098 0.35527
0.164468 0.628096 0.305559 0.0717309 0.017178 0.332617
0.170277 0.619815 0.298894 0.0663229 0.0152448 0.310894
0.176291 0.611054 0.292026 0.0611212 0.0134982 0.290088
0.182518 0.601794 0.284946 0.0561332 0.0119259 0.270181
0.188965 0.592019 0.277644 0.0513655 0.0105154 0.251158
0.19564 0.581712 0.270113 0.0468237 0.00925426 0.233004
0.20255 0.570857 0.26235 0.0425124 0.00813025 0.215704
0.209705 0.559439 0.254353 0.0384353 0.00713139 0.19924
0.217112 0.547447 0.246122 0.0345951 0.00624609 0.183599
0.224781 0.534869 0.237662 0.0309929 0.00546327 0.168764
0.23272 0.521696 0.228979 0.027629 0.00477243 0.154718
0.24094 0.507922 0.220085 0.0245023 0.00416376 0.141446
0.249451 0.493544 0.210992 0.0216103 0.00362814 0.12893
0.258262 0.478563 0.201719 0.0189494 0.00315722 0.117154
0.267384 0.462984 0.192286 0.0165145 0.00274339 0.1061
0.276829 0.446817 0.182718 0.0142995 0.00237982 0.09575
0.286607 0.430076 0.173041 0.012297 0.00206041 0.086085
0.29673 0.412783 0.163288 0.0104983 0.00177978 0.077086
0.307211 0.394966 0.153492 0.00889405 0.00153321 0.0687333
0.318063 0.376659 0.14369 0.00747369 0.00131659 0.0610064
0.329297 0.357905 0.133921 0.00622601 0.00112637 0.0538841
0.340929 0.338756 0.124227 0.00513913 0.000959476 0.0473448
0.352971 0.319272 0.11465 0.00420073 0.000813264 0.0413658
0.365438 0.299522 0.105234 0.00339816 0.000685447 0.0359239
0.378346 0.279584 0.0960259 0.00271869 0.000574041 0.0309952
0.39171 0.259548 0.0870687 0.00214959 0.00047731 0.026555
0.405546 0.239509 0.0784073 0.00167842 0.000393721 0.0225781
0.419871 0.219575 0.0700846 0.00129309 0.0003219 0.0190385
0.434701 0.19986 0.0621414 0.000982107 0.000260609 0.0159099
0.450056 0.180484 0.0546158 0.000734637 0.00020871 0.0131653
0.465953 0.161575 0.0475422 0.000540667 0.000165157 0.0107776
0.482411 0.143262 0.0409505 0.000391072 0.000128975 0.00871917
0.499451 0.125677 0.0348655 0.000277684 9.92579e-05 0.00696252
0.517092 0.108948 0.029306 0.000193322 7.51595e-05 0.00548008
0.535357 0.0931994 0.0242841 0.000131787 5.58953e-05 0.00424457
0.554266 0.0785463 0.0198047 8.78455e-05 4.07406e-05 0.00322913
0.573844 0.0650902 0.0158653 5.7168e-05 2.90316e-05 0.00240755
0.594113 0.0529155 0.0124549 3.62599e-05 2.01671e-05 0.00175451
0.615099 0.0420847 0.00955485 2.23701e-05 1.36092e-05 0.00124581
0.636825 0.0326344 0.00713859 1.33906e-05 8.88398e-06 0.000858607
0.659319 0.0245712 0.00517209 7.75183e-06 5.58114e-06 0.000571653
0.682607 0.0178692 0.00361474 4.32061e-06 3.35258e-06 0.000365517
0.706718 0.0124684 0.00242044 2.30392e-06 1.90997e-06 0.00022278
0.731681 0.00827463 0.00153907 1.16469e-06 1.02112e-06 0.000128184
0.757525 0.00516213 0.000918322 5.50874e-07 5.05189e-07 6.87402e-05
0.784282 0.00297852 0.00050574 2.39182e-07 2.26923e-07 3.37594e-05
0.811984 0.0015527 0.000251017 9.2729e-08 9.00898e-08 1.48118e-05
0.840665 0.000705719 0.000108287 3.08072e-08 3.03845e-08 5.59574e-06
0.870359 0.000263877 3.82694e-05 8.22922e-09 8.18496e-09 1.71728e-06
0.901102 7.30723e-05 9.9535e-06 1.58933e-09 1.58721e-09 3.86923e-07
0.93293 1.19641e-05 1.51373e-06 1.81622e-10 1.81712e-10 5.21015e-08
0.965883 5.80743e-07 6.64156e-08 7.35654e-12 7.365e-12 2.30431e-09
