x xuv xdv xubar xdbar xgl
0.001 1.47412 1.44234 1.40153 1.42256 24.7418
0.00103532 1.46019 1.42819 1.38659 1.40788 24.339
0.00107189 1.44641 1.41417 1.37176 1.39333 23.9409
0.00110975 1.43275 1.40028 1.35706 1.37889 23.5475
0.00114895 1.41924 1.38653 1.34247 1.36456 23.1588
0.00118953 1.40585 1.37292 1.32801 1.35036 22.7749
0.00123155 1.39261 1.35944 1.31367 1.33628 22.3955
0.00127505 1.3795 1.34609 1.29944 1.32232 22.0207
0.00132009 1.36652 1.33287 1.28534 1.30847 21.6505
0.00136672 1.35368 1.3198 1.27136 1.29474 21.2849
0.00141499 1.34098 1.30685 1.25749 1.28113 20.9237
0.00146497 1.32841 1.29404 1.24375 1.26764 20.567
0.00151672 1.31598 1.28136 1.23013 1.25427 20.2148
0.00157029 1.30369 1.26882 1.21662 1.24101 19.8669
0.00162576 1.29154 1.25641 1.20324 1.22786 19.5234
0.00168318 1.27952 1.24414 1.18997 1.21483 19.1843
0.00174263 1.26764 1.232 1.17682 1.20192 18.8494
0.00180419 1.2559 1.21999 1.16379 1.18912 18.5188
0.00186791 1.2443 1.20812 1.15088 1.17643 18.1924
0.00193389 1.23283 1.19638 1.13809 1.16386 17.8703
0.0020022 1.2215 1.18477 1.12542 1.15139 17.5523
0.00207292 1.21032 1.1733 1.11286 1.13904 17.2384
0.00214614 1.19927 1.16196 1.10042 1.1268 16.9286
0.00222195 1.18835 1.15075 1.0881 1.11467 16.6229
0.00230043 1.17758 1.13967 1.07589 1.10264 16.3212
0.00238169 1.16695 1.12872 1.0638 1.09073 16.0234
0.00246581 1.15645 1.1179 1.05182 1.07891 15.7297
0.00255291 1.14609 1.10721 1.03996 1.06721 15.4399
0.00264308 1.13588 1.09665 1.02821 1.05561 15.1539
0.00273644 1.1258 1.08622 1.01658 1.04411 14.8719
0.0028331 1.11586 1.07592 1.00506 1.03271 14.5936
0.00293317 1.10606 1.06575 0.993649 1.02141 14.3192
0.00303677 1.0964 1.0557 0.982354 1.01021 14.0484
0.00314404 1.08687 1.04577 0.97117 0.999109 13.7815
0.00325509 1.07749 1.03598 0.960096 0.988104 13.5182
0.00337006 1.06825 1.0263 0.949133 0.977193 13.2585
0.0034891 1.05914 1.01675 0.938279 0.966375 13.0025
0.00361234 1.05018 1.00732 0.927533 0.955648 12.7501
0.00373994 1.04135 0.998013 0.916896 0.945011 12.5013
0.00387204 1.03266 0.988825 0.906365 0.934462 12.2559
0.00400881 1.02411 0.979755 0.895941 0.923999 12.0141
0.0041504 1.01571 0.970803 0.885622 0.91362 11.7757
0.004297 1.00743 0.961967 0.875407 0.903324 11.5407
0.00444878 0.999304 0.953246 0.865296 0.893109 11.3092
0.00460592 0.991311 0.944639 0.855288 0.882971 11.081
0.00476861 0.983458 0.936144 0.845381 0.872911 10.8561
0.00493705 0.975743 0.927759 0.835574 0.862924 10.6345
0.00511143 0.968167 0.919484 0.825867 0.85301 10.4162
0.00529198 0.960729 0.911316 0.816259 0.843165 10.2011
0.0054789 0.95343 0.903254 0.806748 0.833387 9.98922
0.00567243 0.946269 0.895297 0.797333 0.823675 9.78051
0.00587279 0.939246 0.887442 0.788013 0.814025 9.57494
0.00608022 0.932361 0.879687 0.778787 0.804436 9.37247
0.00629499 0.925614 0.872031 0.769654 0.794903 9.17308
0.00651734 0.919004 0.864472 0.760611 0.785426 8.97673
0.00674754 0.912532 0.857007 0.751659 0.776001 8.7834
0.00698588 0.906197 0.849635 0.742795 0.766625 8.59305
0.00723263 0.899999 0.842353 0.734018 0.757296 8.40565
0.0074881 0.893937 0.835159 0.725327 0.74801 8.22118
0.0077526 0.888011 0.828051 0.716719 0.738766 8.0396
0.00802643 0.882222 0.821027 0.708195 0.729559 7.86088
0.00830994 0.876568 0.814083 0.699751 0.720387 7.68499
0.00860346 0.87105 0.807218 0.691386 0.711247 7.51191
0.00890735 0.865666 0.800429 0.6831 0.702135 7.3416
0.00922198 0.860416 0.793713 0.674889 0.693049 7.17403
0.00954772 0.855301 0.787068 0.666752 0.683986 7.00918
0.00988496 0.850319 0.780491 0.658688 0.674941 6.84701
0.0102341 0.845469 0.77398 0.650694 0.665913 6.6875
0.0105956 0.840752 0.76753 0.642768 0.656898 6.53063
0.0109699 0.836167 0.761141 0.634909 0.647892 6.37635
0.0113573 0.831712 0.754808 0.627115 0.638893 6.22465
0.0117585 0.827388 0.748529 0.619384 0.629896 6.07549
0.0121738 0.823193 0.7423 0.611712 0.6209 5.92885
0.0126038 0.819126 0.73612 0.604099 0.611901 5.7847
0.013049 0.815187 0.729984 0.596542 0.602895 5.64301
0.0135099 0.811375 0.72389 0.589039 0.59388 5.50376
0.0139871 0.807689 0.717835 0.581588 0.584852 5.36692
0.0144812 0.804127 0.711816 0.574186 0.575809 5.23246
0.0149927 0.800688 0.70583 0.56683 0.566747 5.10036
0.0155223 0.797371 0.699874 0.559519 0.557664 4.97058
0.0160705 0.794175 0.693944 0.55225 0.548558 4.84312
